Mod:Item:MetaData, Localized Name
industrialupgrade:crafting_elements:663, Датчик: Кактус
industrialupgrade:crafting_elements:664, Датчик: Корова
industrialupgrade:crafting_elements:665, Датчик: Курица
industrialupgrade:crafting_elements:666, Датчик: Маточное молоко
industrialupgrade:crafting_elements:667, Датчик: Мёд
industrialupgrade:crafting_elements:668, Датчик: Оборотный транскриптор
industrialupgrade:crafting_elements:669, Датчик: Обороты
industrialupgrade:crafting_elements:670, Датчик: Овца
industrialupgrade:crafting_elements:671, Датчик: Пестицид
industrialupgrade:crafting_elements:672, Датчик: Рассадник блоков
industrialupgrade:crafting_elements:673, Датчик: Лесопилка
industrialupgrade:crafting_elements:674, Датчик: Саженец
industrialupgrade:crafting_elements:675, Датчик: Свинья
industrialupgrade:crafting_elements:676, Датчик: ДНК
industrialupgrade:crafting_elements:677, Датчик: Зонд
industrialupgrade:crafting_elements:678, Датчик: Колонии
industrialupgrade:crafting_elements:679, Датчик: Космические аппараты
industrialupgrade:crafting_elements:680, Датчик: Космос
industrialupgrade:crafting_elements:681, Датчик: Марсоход
industrialupgrade:crafting_elements:682, Датчик: Мутация
industrialupgrade:crafting_elements:683, Датчик: Планета
industrialupgrade:crafting_elements:684, Датчик: Ракета
industrialupgrade:crafting_elements:685, Датчик: РНК
industrialupgrade:crafting_elements:686, Датчик: Рубка
industrialupgrade:crafting_elements:687, Датчик: Сбор
industrialupgrade:crafting_elements:688, Датчик: Спутник
industrialupgrade:crafting_elements:689, Датчик: Удобрение
industrialupgrade:crafting_elements:690, Анализатор частиц
industrialupgrade:crafting_elements:691, Антенна связи
industrialupgrade:crafting_elements:692, Ванадо-алюминиевые микроускорители
industrialupgrade:crafting_elements:693, Виталлиевый щит
industrialupgrade:crafting_elements:694, Инфракрасный сенсор
industrialupgrade:crafting_elements:695, Иридиевые микроускорители
industrialupgrade:crafting_elements:696, Литиево-алюминиевая большая солнечная батарея
industrialupgrade:crafting_elements:697, Литиевая средняя солнечная батарея
industrialupgrade:crafting_elements:698, Модуль сбора проб
industrialupgrade:crafting_elements:699, Микроускорители из нержавеющей стали
industrialupgrade:crafting_elements:700, Нимониковый щит
industrialupgrade:crafting_elements:701, Оптическая линза
industrialupgrade:crafting_elements:702, Осмиридивые микроускорители
industrialupgrade:crafting_elements:703, Пермаллоевый щит
industrialupgrade:crafting_elements:704, Свинцовая малая солнечная батарея
industrialupgrade:crafting_elements:705, Стабилизатор ориентации
industrialupgrade:crafting_elements:706, Стальной щит
industrialupgrade:crafting_elements:707, Алюмидо-титановый корпус
industrialupgrade:crafting_elements:708, Термопокрытие из бериллиевой бронзы
industrialupgrade:crafting_elements:709, Вольфрамовая гусеница
industrialupgrade:crafting_elements:710, Гидростабилизатор
industrialupgrade:crafting_elements:711, Дракониевый корпус
industrialupgrade:crafting_elements:712, Электропривод из карбида гафния
industrialupgrade:crafting_elements:713, Модуль автономного питания
industrialupgrade:crafting_elements:714, Молибденовое термопокрытие
industrialupgrade:crafting_elements:715, Нитиноловая гусеница
industrialupgrade:crafting_elements:716, Неодимовый электропривод
industrialupgrade:crafting_elements:717, Гусеница из нержавеющей стали
industrialupgrade:crafting_elements:718, Электропривод из никелевого сплава
industrialupgrade:crafting_elements:719, Ниобий-титановый электропривод
industrialupgrade:crafting_elements:720, Мунцовая гусеница
industrialupgrade:crafting_elements:721, Орихалковое термопокрытие
industrialupgrade:crafting_elements:722, Пылезащитный фильтр
industrialupgrade:crafting_elements:723, Радар ближнего действия
industrialupgrade:crafting_elements:724, Сканирующий модуль
industrialupgrade:crafting_elements:725, Стальное покрытие
industrialupgrade:crafting_elements:726, Титановый корпус
industrialupgrade:crafting_elements:727, Корпус из титанового сплава
industrialupgrade:crafting_elements:728, Алькледная высокочастотная антенна
industrialupgrade:crafting_elements:729, Алюминиевая высокочастотная антенна
industrialupgrade:crafting_elements:730, Арсенид-галлиевый орбитальный стабилизатор
industrialupgrade:crafting_elements:731, Генератор энергопотока
industrialupgrade:crafting_elements:732, Герметичный отсек
industrialupgrade:crafting_elements:733, Датчики ускорения
industrialupgrade:crafting_elements:734, Детектор радиации
industrialupgrade:crafting_elements:735, Дюралюминиевая высокочастотная антенна
industrialupgrade:crafting_elements:736, Иттрий-алюминиевое магнитное покрытие
industrialupgrade:crafting_elements:737, Иттрий-алюминиевый орбитальный стабилизатор
industrialupgrade:crafting_elements:738, Контейнер данных
industrialupgrade:crafting_elements:739, Навигационные сенсоры
industrialupgrade:crafting_elements:740, Неодимовое магнитное покрытие
industrialupgrade:crafting_elements:741, Нимониковое магнитное покрытие
industrialupgrade:crafting_elements:742, Ионный протектор
industrialupgrade:crafting_elements:743, Пусковый стабилизатор
industrialupgrade:crafting_elements:744, Топливный бак
industrialupgrade:crafting_elements:745, Двигатель
industrialupgrade:crafting_elements:746, Осмиевый орбитальный стабилизатор
industrialupgrade:crafting_elements:747, Панель управления
industrialupgrade:crafting_elements:748, Продвинутый ионный протектор
industrialupgrade:crafting_elements:749, Продвинутый пусковый стабилизатор
industrialupgrade:crafting_elements:750, Продвинутый топливный бак
industrialupgrade:crafting_elements:751, Продвинутый двигатель
industrialupgrade:crafting_elements:752, Резервный модуль питания
industrialupgrade:crafting_elements:753, Ретранслятор связи
industrialupgrade:crafting_elements:754, Совершенный ионный протектор
industrialupgrade:crafting_elements:755, Совершенный пусковый стабилизатор
industrialupgrade:crafting_elements:756, Совершенный топливный бак
industrialupgrade:crafting_elements:757, Совершенный двигатель
industrialupgrade:crafting_elements:758, Стабилизаторы полёта
industrialupgrade:crafting_elements:759, Стеллитовый орбитальный стабилизатор
industrialupgrade:crafting_elements:760, Суперсплава Хэйнс высокочастотная антенна
industrialupgrade:crafting_elements:761, Улучшенный ионный протектор
industrialupgrade:crafting_elements:762, Улучшенный пусковый стабилизатор
industrialupgrade:crafting_elements:763, Улучшенный двигатель
industrialupgrade:crafting_elements:764, Улучшенный топливный бак
industrialupgrade:crafting_elements:765, Управляющий компьютер
industrialupgrade:crafting_elements:766, Ускоритель коррекции орбиты
industrialupgrade:crafting_elements:767, Ферромарганцовое магнитное покрытие
industrialupgrade:crafting_elements:768, Фотонная камера
industrialupgrade:itempipes_iu:0, Выходная предметная труба из нержавеющей стали
industrialupgrade:itempipes_iu:1, Входная предметная труба из нержавеющей стали
industrialupgrade:itempipes_iu:2, Выходная стеллитовая жидкостная труба
industrialupgrade:itempipes_iu:3, Входная стеллитовая жидкостная труба
industrialupgrade:itempipes_iu:4, Труба из нержавеющей стали
industrialupgrade:itempipes_iu:5, Стеллитовая жидкостная труба
industrialupgrade:itempipes_iu:6, Выходная деревянная предметная труба
industrialupgrade:itempipes_iu:7, Входная деревянная предметная труба
industrialupgrade:itempipes_iu:8, Деревянная предметная труба
industrialupgrade:itempipes_iu:9, Выходная железная предметная труба
industrialupgrade:itempipes_iu:10, Входная железная предметная труба
industrialupgrade:itempipes_iu:11, Железная предметная труба
industrialupgrade:itempipes_iu:12, Выходная стальная предметная труба
industrialupgrade:itempipes_iu:13, Входная стальная предметная труба
industrialupgrade:itempipes_iu:14, Стальная предметная труба
industrialupgrade:itempipes_iu:15, Выходная алюминиево-бронзовая предметная труба
industrialupgrade:itempipes_iu:16, Входная алюминиево-бронзовая предметная труба
industrialupgrade:itempipes_iu:17, Алюминиево-бронзовая предметная труба
industrialupgrade:itempipes_iu:18, Выходная деревянная жидкостная труба
industrialupgrade:itempipes_iu:19, Входная деревянная жидкостная труба
industrialupgrade:itempipes_iu:20, Деревянная жидкостная труба
industrialupgrade:itempipes_iu:21, Выходная кобальтовая жидкостная труба
industrialupgrade:itempipes_iu:22, Входная кобальтовая жидкостная труба
industrialupgrade:itempipes_iu:23, Кобальтовая жидкостная труба
industrialupgrade:itempipes_iu:24, Выходная кобальто-хромовая жидкостная труба
industrialupgrade:itempipes_iu:25, Входная кобальто-хромовая жидкостная труба
industrialupgrade:itempipes_iu:26, Кобальто-хромовая жидкостная труба
industrialupgrade:itempipes_iu:27, Выходная нейзильберовая жидкостная труба
industrialupgrade:itempipes_iu:28, Входная нейзильберовая жидкостная труба
industrialupgrade:itempipes_iu:29, Нейзильберовая жидкостная труба
industrialupgrade:gear:0, Михаловая шестерня
industrialupgrade:gear:1, Алюминиевая шестерня
industrialupgrade:gear:2, Ванадиевая шестерня
industrialupgrade:gear:3, Вольфрамовая шестерня
industrialupgrade:gear:4, Инварная шестерня
industrialupgrade:gear:5, Каравковая шестерня
industrialupgrade:gear:6, Кобальтовая шестерня
industrialupgrade:gear:7, Магниевая шестерня
industrialupgrade:gear:8, Никелевая шестерня
industrialupgrade:gear:9, Платиновая шестерня
industrialupgrade:gear:10, Титановая шестерня
industrialupgrade:gear:11, Хромовая шестерня
industrialupgrade:gear:12, Шпинелевая шестерня
industrialupgrade:gear:13, Электрумовая шестерня
industrialupgrade:gear:14, Серебряная шестерня
industrialupgrade:gear:15, Цинковая шестерня
industrialupgrade:gear:16, Марганцевая шестерня
industrialupgrade:gear:17, Иридиевая шестерня
industrialupgrade:gear:18, Германиевая шестерня
industrialupgrade:gear:19, Осмиевая шестерня
industrialupgrade:gear:20, Танталиевая шестерня
industrialupgrade:gear:21, Кадмиевая шестерня
industrialupgrade:gear:22, Мышьяковая шестерня
industrialupgrade:gear:23, Бариевая шестерня
industrialupgrade:gear:24, Висмутовая шестерня
industrialupgrade:gear:25, Гадолиниевая шестерня
industrialupgrade:gear:26, Галлиевая шестерня
industrialupgrade:gear:27, Гафниевая шестерня
industrialupgrade:gear:28, Иттриевая шестерня
industrialupgrade:gear:29, Молибденовая шестерня
industrialupgrade:gear:30, Неодимовая шестерня
industrialupgrade:gear:31, Ниобиевая шестерня
industrialupgrade:gear:32, Палладиевая шестерня
industrialupgrade:gear:33, Полониевая шестерня
industrialupgrade:gear:34, Стронциевая шестерня
industrialupgrade:gear:35, Таллиевая шестерня
industrialupgrade:gear:36, Циркониевая шестерня
industrialupgrade:sensor:0, Сканер руд
industrialupgrade:alloygear:0, Шестерня из алюминиевой бронзы
industrialupgrade:alloygear:1, Шестерня из алюминида титана
industrialupgrade:alloygear:2, Шестерня из красной латуни
industrialupgrade:alloygear:3, Шестерня из мунц-металла
industrialupgrade:alloygear:4, Нихромовая шестерня
industrialupgrade:alloygear:5, Алькледная шестерня
industrialupgrade:alloygear:6, Шестерня из ванадиево-алюминиевого сплава
industrialupgrade:alloygear:7, Виталлиевая шестерня
industrialupgrade:alloygear:8, Дюралюминиевая шестерня
industrialupgrade:alloygear:9, Ферромарганцевая шестерня
industrialupgrade:alloygear:10, Шестерня из алюминиево-кремниевого сплава
industrialupgrade:alloygear:11, Шестерня из бериллиевой бронзы
industrialupgrade:alloygear:12, Нейзильберовая шестерня
industrialupgrade:alloygear:13, Шестерня из нержавеющей стали
industrialupgrade:alloygear:14, Шестерня из никелевого сплава
industrialupgrade:alloygear:15, Нитиноловая шестерня
industrialupgrade:alloygear:16, Стеллитовая шестерня
industrialupgrade:alloygear:17, Шестерня из боридо-гафниевого сплава
industrialupgrade:alloygear:18, Шестерня из сплава Вуда
industrialupgrade:alloygear:19, Шестерня из нимоникового сплава
industrialupgrade:alloygear:20, Шестерня из тантало-вольфрамо-гафниевого сплава
industrialupgrade:alloygear:21, Пермаллоевая шестерня
industrialupgrade:alloygear:22, Шестерня из алюминий-литиевого сплава
industrialupgrade:alloygear:23, Шестерня из кобальт-хромового сплава
industrialupgrade:alloygear:24, Шестерня из карбида гафния
industrialupgrade:alloygear:25, Шестерня из молибденовой стали
industrialupgrade:alloygear:26, Шестерня из ниобий-титанового сплава
industrialupgrade:alloygear:27, Осмиридиевая шестерня
industrialupgrade:alloygear:28, Шестерня из суперсплава Хэйнс
industrialupgrade:alloygear:29, Шестерня из суперсплава Рене
industrialupgrade:alloygear:30, Шестерня из иттрий-алюминиевого граната
industrialupgrade:alloygear:31, Арсенид-галлиевая шестерня
industrialupgrade:corewater:0, Деревянная сердцевина водяного ротора
industrialupgrade:corewater:1, Бронзовая сердцевина водяного ротора
industrialupgrade:corewater:2, Железная сердцевина водяного ротора
industrialupgrade:corewater:3, Стальная сердцевина водяного ротора
industrialupgrade:corewater:4, Углеволоконная седцевина водяного ротора
industrialupgrade:corewater:5, Иридиевая сердцевина водяного ротора
industrialupgrade:corewater:6, Сердцевина водяного ротора сжатого иридия
industrialupgrade:corewater:7, Спектральная сердцевина водяного ротора
industrialupgrade:corewater:8, Мистическая сердцевина водяного ротора
industrialupgrade:corewater:9, Нейтронная седрцевина водяного ротора
industrialupgrade:corewater:10, Фотонная седцевина водяного ротора
industrialupgrade:corewater:11, Барионная сердцевина водяного ротора
industrialupgrade:corewater:12, Адронная сердцевина водяного ротора
industrialupgrade:corewater:13, Ультрамариновая сердцевина водяного ротора
industrialupgrade:heatcoldpipes_iu_item:0, Универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:1, Улучшенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:2, Продвинутая универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:3, Совершенная универсальная тепловая труба
industrialupgrade:heatcoldpipes_iu_item:4, Квантовая универсальная тепловая труба
industrialupgrade:universal_cable_item:0, §aУниверсальный спектральный провод
industrialupgrade:universal_cable_item:1, §9Универсальный протонный провод
industrialupgrade:universal_cable_item:2, §eУниверсальный сингулярный провод
industrialupgrade:universal_cable_item:3, §6Универсальный мифический провод
industrialupgrade:universal_cable_item:4, §5Универсальный квантовый провод
industrialupgrade:universal_cable_item:5, §dУниверсальный фотонный провод
industrialupgrade:universal_cable_item:6, §3Универсальный нейтронный провод
industrialupgrade:universal_cable_item:7, §bУниверсальный совершенный провод
industrialupgrade:universal_cable_item:8, §6Универсальный вселенский провод
industrialupgrade:universal_cable_item:9, §cУниверсальный дифракционный провод
industrialupgrade:universal_cable_item:10, §7Универсальный провод бесконечности
industrialupgrade:cooling_sensor, iu.cooling_sensor.name
industrialupgrade:heat_sensor, iu.heat_sensor.name
industrialupgrade:frequency_transmitter, Частотный связыватель
industrialupgrade:steam_blade_wood, item.steam_blade_wood.name
industrialupgrade:steam_blade_bronze, item.steam_blade_bronze.name
industrialupgrade:steam_blade_iron, item.steam_blade_iron.name
industrialupgrade:steam_blade_steel, item.steam_blade_steel.name
industrialupgrade:steam_blade_carbon, item.steam_blade_carbon.name
industrialupgrade:steam_blade_iridium, item.steam_blade_iridium.name
industrialupgrade:steam_blade_compressiridium, item.steam_blade_compressiridium.name
industrialupgrade:steam_blade_spectral, item.steam_blade_spectral.name
industrialupgrade:steam_blade_myphical, item.steam_blade_myphical.name
industrialupgrade:steam_blade_photon, item.steam_blade_photon.name
industrialupgrade:steam_blade_neutron, item.steam_blade_neutron.name
industrialupgrade:steam_blade_barion, item.steam_blade_barion.name
industrialupgrade:steam_blade_hadron, item.steam_blade_hadron.name
industrialupgrade:steam_blade_ultramarine, item.steam_blade_ultramarine.name
industrialupgrade:rotor_wood, item.rotor_wood.name
industrialupgrade:rotor_bronze, item.rotor_bronze.name
industrialupgrade:rotor_iron, item.rotor_iron.name
industrialupgrade:rotor_steel, item.rotor_steel.name
industrialupgrade:rotor_carbon, item.rotor_carbon.name
industrialupgrade:water_rotor_wood, item.water_rotor_wood.name
industrialupgrade:water_rotor_bronze, item.water_rotor_bronze.name
industrialupgrade:water_rotor_iron, item.water_rotor_iron.name
industrialupgrade:water_rotor_steel, item.water_rotor_steel.name
industrialupgrade:water_rotor_carbon, item.water_rotor_carbon.name
industrialupgrade:water_iridium, item.water_iridium.name
industrialupgrade:water_compressiridium, item.water_compressiridium.name
industrialupgrade:water_spectral, item.water_spectral.name
industrialupgrade:water_myphical, item.water_myphical.name
industrialupgrade:water_photon, item.water_photon.name
industrialupgrade:water_neutron, item.water_neutron.name
industrialupgrade:water_barionrotor, item.water_barionrotor.name
industrialupgrade:water_adronrotor, item.water_adronrotor.name
industrialupgrade:water_ultramarinerotor, item.water_ultramarinerotor.name
industrialupgrade:neutroniumingot, item.neutroniumingot.name.name
industrialupgrade:connect_item, item.connect_item.name.name
industrialupgrade:nether_star_ingot, item.nether_star_ingot.name.name
industrialupgrade:upgrade_speed_creation, item.upgrade_speed_creation.name.name
industrialupgrade:itemcore:0, §6Улучшенное ядро
industrialupgrade:itemcore:1, §3Гибридное ядро
industrialupgrade:itemcore:2, §9Совершенное ядро
industrialupgrade:itemcore:3, §2Квантовое ядро
industrialupgrade:itemcore:4, §eСпектральное ядро
industrialupgrade:itemcore:5, §5Протонное ядро
industrialupgrade:itemcore:6, §8Сингулярное ядро
industrialupgrade:itemcore:7, §cДифракционное ядро
industrialupgrade:itemcore:8, §aФотонное ядро
industrialupgrade:itemcore:9, §9Нейтронное ядро
industrialupgrade:itemcore:10, §fБарионное ядро
industrialupgrade:itemcore:11, §eАдронное ядро
industrialupgrade:itemcore:12, §bГравитонное ядро
industrialupgrade:itemcore:13, §8Кварковое ядро
industrialupgrade:corewind:0, Деревянная сердцевина ротора
industrialupgrade:corewind:1, Бронзовая сердцевина ротора
industrialupgrade:corewind:2, Железная сердцевина ротора
industrialupgrade:corewind:3, Стальная сердцевина ротора
industrialupgrade:corewind:4, Углеволоконная сердцевина ротора
industrialupgrade:corewind:5, Иридиевая сердцевина ротора
industrialupgrade:corewind:6, Сердцевина ротора сжатого иридия
industrialupgrade:corewind:7, Спектральная сердцевина ротора
industrialupgrade:corewind:8, Мистическая сердцевина ротора
industrialupgrade:corewind:9, Нейтронная сердцевина ротора
industrialupgrade:corewind:10, Фотонная сердцевина ротора
industrialupgrade:corewind:11, Барионная сердцевина ротора
industrialupgrade:corewind:12, Адронная сердцевина ротора
industrialupgrade:corewind:13, Ультрамариновая сердцевина ротора
industrialupgrade:raw_apatite, item.raw_apatite.name.name
industrialupgrade:apatite_cube, item.apatite_cube.name.name
industrialupgrade:hops, item.hops.name.name
industrialupgrade:tomato, item.tomato.name.name
industrialupgrade:terra_wart, item.terra_wart.name.name
industrialupgrade:corn, item.corn.name.name
industrialupgrade:raspberry, item.raspberry.name.name
industrialupgrade:fertilizer, item.fertilizer.name.name
industrialupgrade:white_phosphorus, item.white_phosphorus.name.name
industrialupgrade:red_phosphorus, item.red_phosphorus.name.name
industrialupgrade:phosphorus_oxide, item.phosphorus_oxide.name.name
industrialupgrade:honeycomb, item.honeycomb.name.name
industrialupgrade:relocator, Релокатор
industrialupgrade:honey_drop, item.honey_drop.name.name
industrialupgrade:beeswax, item.beeswax.name.name
industrialupgrade:wax_stick, item.wax_stick.name.name
industrialupgrade:royal_jelly, item.royal_jelly.name.name
industrialupgrade:bee_pollen, item.bee_pollen.name.name
industrialupgrade:polished_stick, item.polished_stick.name.name
industrialupgrade:bee_frame_template, item.bee_frame_template.name.name
industrialupgrade:adv_bee_frame_template, item.adv_bee_frame_template.name.name
industrialupgrade:imp_bee_frame_template, item.imp_bee_frame_template.name.name
industrialupgrade:wolframite, item.wolframite.name.name
industrialupgrade:larva, item.larva.name.name
industrialupgrade:plant_mixture, item.plant_mixture.name.name
industrialupgrade:bee_genome:0, Слабый пчелиный геном: Почва
industrialupgrade:bee_genome:1, Средний пчелиный геном: Почва
industrialupgrade:bee_genome:2, Сильный пчелиный геном: Почва
industrialupgrade:bee_genome:3, Слабый пчелиный геном: Питание
industrialupgrade:bee_genome:4, Средний пчелиный геном: Питание
industrialupgrade:bee_genome:5, Сильный пчелиный геном: Питание
industrialupgrade:bee_genome:6, Пчелиный геном: Биом
industrialupgrade:bee_genome:7, Слабый пчелиный геном: Маточное молочко
industrialupgrade:bee_genome:8, Средний пчелиный геном: Маточное молочко
industrialupgrade:bee_genome:9, Сильный пчелиный геном: Маточное молочко
industrialupgrade:bee_genome:10, Слабый пчелиный геном: Погода
industrialupgrade:bee_genome:11, Средний пчелиный геном: Погода
industrialupgrade:bee_genome:12, Слабый пчелиный геном: Продуктивность
industrialupgrade:bee_genome:13, Средний пчелиный геном: Продуктивность
industrialupgrade:bee_genome:14, Сильный пчелиный геном: Продуктивность
industrialupgrade:bee_genome:15, Слабый пчелиный геном: Размножение
industrialupgrade:bee_genome:16, Средний пчелиный геном: Размножение
industrialupgrade:bee_genome:17, Сильный пчелиный геном: Размножение
industrialupgrade:bee_genome:18, Слабый пчелиный геном: Закалка
industrialupgrade:bee_genome:19, Средний пчелиный геном: Закалка
industrialupgrade:bee_genome:20, Сильный пчелиный геном: Закалка
industrialupgrade:bee_genome:21, Слабый пчелиный геном: Популяция
industrialupgrade:bee_genome:22, Средний пчелиный геном: Популяция
industrialupgrade:bee_genome:23, Сильный пчелиный геном: Популяция
industrialupgrade:bee_genome:24, Слабый пчелиный геном: Рой
industrialupgrade:bee_genome:25, Средний пчелиный геном: Рой
industrialupgrade:bee_genome:26, Сильный пчелиный геном: Рой
industrialupgrade:bee_genome:27, Слабый пчелиный геном: Смертность
industrialupgrade:bee_genome:28, Средний пчелиный геном: Смертность
industrialupgrade:bee_genome:29, Сильный пчелиный геном: Смертность
industrialupgrade:bee_genome:30, Слабый пчелиный геном: Вредители
industrialupgrade:bee_genome:31, Средний пчелиный геном: Вредители
industrialupgrade:bee_genome:32, Сильный пчелиный геном: Вредители
industrialupgrade:bee_genome:33, Слабый пчелиный геном: Радиус
industrialupgrade:bee_genome:34, Средний пчелиный геном: Радиус
industrialupgrade:bee_genome:35, Сильный пчелиный геном: Радиус
industrialupgrade:bee_genome:36, Пчелиный геном: Солнце
industrialupgrade:bee_genome:37, Пчелиный геном: Ночь
industrialupgrade:bee_genome:38, Слабый пчелиный геном: Воздух
industrialupgrade:bee_genome:39, Средний пчелиный геном: Воздух
industrialupgrade:bee_genome:40, Сильный пчелиный геном: Воздух
industrialupgrade:bee_genome:41, Слабый пчелиный геном: Радиация
industrialupgrade:bee_genome:42, Средний пчелиный геном: Радиация
industrialupgrade:bee_genome:43, Сильный пчелиный геном: Радиация
industrialupgrade:bee_genome:44, Слабый пчелиный геном: Устойчивость
industrialupgrade:bee_genome:45, Средний пчелиный геном: Устойчивость
industrialupgrade:bee_genome:46, Сильный пчелиный геном: Устойчивость
industrialupgrade:bee_genome:47, Слабый пчелиный геном: Адаптивность
industrialupgrade:bee_genome:48, Средний пчелиный геном: Адаптивность
industrialupgrade:bee_genome:49, Сильный пчелиный геном: Адаптивность
industrialupgrade:crop_genome:0, Слабый урожайный геном: Почва
industrialupgrade:crop_genome:1, Средний урожайный геном: Почва
industrialupgrade:crop_genome:2, Сильный урожайный геном: Почва
industrialupgrade:crop_genome:3, Слабый урожайный геном: Шанс урожая
industrialupgrade:crop_genome:4, Средний урожайный геном: Шанс урожая
industrialupgrade:crop_genome:5, Сильный урожайный геном: Шанс урожая
industrialupgrade:crop_genome:6, Урожайный геном: Опыление пчёлами
industrialupgrade:crop_genome:7, Слабый урожайный геном: Урожайность
industrialupgrade:crop_genome:8, Средний урожайный геном: Урожайность
industrialupgrade:crop_genome:9, Сильный урожайный геном: Урожайность
industrialupgrade:crop_genome:10, Слабый урожайный геном: Устойчивость к погоде
industrialupgrade:crop_genome:11, Средний урожайный геном: Устойчивость к погоде
industrialupgrade:crop_genome:12, Урожайный геном: Вода
industrialupgrade:crop_genome:13, Слабый урожайный геном: Свет
industrialupgrade:crop_genome:14, Средний урожайный геном: Свет
industrialupgrade:crop_genome:15, Сильный урожайный геном: Свет
industrialupgrade:crop_genome:16, Максимальный урожайный геном: Свет
industrialupgrade:crop_genome:17, Урожайный геном: Адский биом
industrialupgrade:crop_genome:18, Урожайный геном: Тёплый биом
industrialupgrade:crop_genome:19, Урожайный геном: Умеренный биом
industrialupgrade:crop_genome:20, Урожайный геном: Холодный биом
industrialupgrade:crop_genome:21, Урожайный геном: Заснеженный биом
industrialupgrade:crop_genome:22, Слабый урожайный геном: Скорость роста
industrialupgrade:crop_genome:23, Средний урожайный геном: Скорость роста
industrialupgrade:crop_genome:24, Сильный урожайный геном: Скорость роста
industrialupgrade:crop_genome:25, Слабый урожайный геном: Устойчивость к вредителям
industrialupgrade:crop_genome:26, Средний урожайный геном: Устойчивость к вредителям
industrialupgrade:crop_genome:27, Сильный урожайный геном: Устойчивость к вредителям
industrialupgrade:crop_genome:28, Слабый урожайный геном: Семена
industrialupgrade:crop_genome:29, Средний урожайный геном: Семена
industrialupgrade:crop_genome:30, Сильный урожайный геном: Семена
industrialupgrade:crop_genome:31, Слабый урожайный геном: Устойчивость к сорнякам
industrialupgrade:crop_genome:32, Средний урожайный геном: Устойчивость к сорнякам
industrialupgrade:crop_genome:33, Сильный урожайный геном: Устойчивость к сорнякам
industrialupgrade:crop_genome:34, Урожайный геном: Почва
industrialupgrade:crop_genome:35, Урожайный геном: Солнце
industrialupgrade:crop_genome:36, Урожайный геном: Ночной рост
industrialupgrade:crop_genome:37, Слабый урожайный геном: Воздух
industrialupgrade:crop_genome:38, Средний урожайный геном: Воздух
industrialupgrade:crop_genome:39, Сильный урожайный геном: Воздух
industrialupgrade:crop_genome:40, Слабый урожайный геном: Радиация
industrialupgrade:crop_genome:41, Средний урожайный геном: Радиация
industrialupgrade:crop_genome:42, Сильный урожайный геном: Радиация
industrialupgrade:crop_genome:43, Слабый урожайный геном: Генетическая устойчивость
industrialupgrade:crop_genome:44, Средний урожайный геном: Генетическая устойчивость
industrialupgrade:crop_genome:45, Сильный урожайный геном: Генетическая устойчивость
industrialupgrade:crop_genome:46, Слабый урожайный геном: Адаптивность
industrialupgrade:crop_genome:47, Средний урожайный геном: Адаптивность
industrialupgrade:crop_genome:48, Сильный урожайный геном: Адаптивность
industrialupgrade:autoheater, item.autoheater.name.name
industrialupgrade:antiairpollution, item.antiairpollution.name.name
industrialupgrade:antiairpollution1, item.antiairpollution1.name.name
industrialupgrade:antisoilpollution, item.antisoilpollution.name.name
industrialupgrade:antisoilpollution1, item.antisoilpollution1.name.name
industrialupgrade:double_molecular, item.double_molecular.name.name
industrialupgrade:quad_molecular, item.quad_molecular.name.name
industrialupgrade:cooling_mixture, item.cooling_mixture.name.name
industrialupgrade:helium_cooling_mixture, item.helium_cooling_mixture.name.name
industrialupgrade:cryogenic_cooling_mixture, item.cryogenic_cooling_mixture.name.name
industrialupgrade:medium_current_converter_to_low, item.medium_current_converter_to_low.name.name
industrialupgrade:high_current_converter_to_low, item.high_current_converter_to_low.name.name
industrialupgrade:extreme_current_converter_to_low, item.extreme_current_converter_to_low.name.name
industrialupgrade:upgrade_casing, item.upgrade_casing.name.name
industrialupgrade:voltage_sensor_for_mechanism, item.voltage_sensor_for_mechanism.name.name
industrialupgrade:graphene_wire, item.graphene_wire.name.name
industrialupgrade:graphene, item.graphene.name.name
industrialupgrade:graphene_plate, item.graphene_plate.name.name
industrialupgrade:motors_with_improved_bearings_, item.motors_with_improved_bearings_.name.name
industrialupgrade:adv_motors_with_improved_bearings_, item.adv_motors_with_improved_bearings_.name.name
industrialupgrade:imp_motors_with_improved_bearings_, item.imp_motors_with_improved_bearings_.name.name
industrialupgrade:compressed_redstone, item.compressed_redstone.name.name
industrialupgrade:electronic_stabilizers, item.electronic_stabilizers.name.name
industrialupgrade:polonium_palladium_composite, item.polonium_palladium_composite.name.name
industrialupgrade:booze_mug, item.booze_mug.name.name
industrialupgrade:itemcoolupgrade:0, Азотный модуль охлаждения
industrialupgrade:itemcoolupgrade:1, Водородный модуль охлаждения
industrialupgrade:itemcoolupgrade:2, Гелиевый модуль охлаждения
industrialupgrade:upgrademodules:0, Модификационный модуль: Генерация днём
industrialupgrade:upgrademodules:1, Модификационный модуль: Генерация ночью
industrialupgrade:upgrademodules:2, Модификационный модуль: Защита
industrialupgrade:upgrademodules:3, Модификационный модуль: Скорость добычи
industrialupgrade:upgrademodules:4, Модификационный модуль: Эффективность энергопотребления (лук)
